Meter Readings,

Timestamp,Distribution Transformer,Hardware,Meter Number,Customer,Meter Reading (kWh),Usage Amount (kWh),Anomalous?,Customer Tags
2026-06-27 23:00:15+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12364,0,false,
2026-06-27 22:00:06+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12364,0,false,
2026-06-27 21:00:12+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12364,0,false,
2026-06-27 20:00:12+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12364,0,false,
2026-06-27 19:00:15+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12364,0,false,
2026-06-27 18:00:18+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12364,3,false,
2026-06-27 17:00:17+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12361,0,true,
2026-06-27 16:00:07+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12353,0,true,
2026-06-27 14:00:18+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12337,0,true,
2026-06-27 13:00:22+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12330,0,true,
2026-06-27 12:00:21+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12324,0,true,
2026-06-27 11:00:21+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12317,0,true,
2026-06-27 10:00:08+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12310,0,true,
2026-06-27 09:00:23+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12305,0,true,
2026-06-27 08:00:20+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12299,3,false,
2026-06-27 07:00:18+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12296,1,false,
2026-06-27 06:00:08+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12295,1,false,
2026-06-27 05:00:17+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12294,0,false,
2026-06-27 04:00:19+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12294,0,false,
2026-06-27 03:00:19+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12294,0,false,
2026-06-27 02:00:21+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12294,0,false,
2026-06-27 01:00:24+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12294,0,false,
2026-06-27 00:00:53+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12294,0,false,
2026-06-26 23:00:17+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12294,0,false,
2026-06-26 22:00:12+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12294,0,false,
2026-06-26 21:00:18+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12294,0,false,
2026-06-26 20:00:12+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12294,0,false,
2026-06-26 19:00:11+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12294,1,false,
2026-06-26 18:00:12+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12293,1,false,
2026-06-26 17:00:16+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12292,0,true,
2026-06-26 16:00:24+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12286,0,true,
2026-06-26 15:00:18+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12271,0,true,
2026-06-26 14:00:24+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12255,0,true,
2026-06-26 13:00:15+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12232,0,true,
2026-06-26 12:00:22+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12206,0,true,
2026-06-26 11:12:06+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12198,0,true,
2026-06-26 10:49:51+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12194,0,true,
2026-06-26 10:46:22+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12192,0,true,
2026-06-26 10:00:17+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12174,0,true,
2026-06-26 09:00:21+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12149,0,true,
2026-06-26 08:00:09+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12134,4,false,
2026-06-26 04:00:17+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12130,0,false,
2026-06-26 03:00:20+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12130,0,false,
2026-06-26 01:00:17+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12130,0,false,
2026-06-26 00:08:22+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12130,0,false,
2026-06-26 00:00:44+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12130,0,false,
2026-06-25 23:00:06+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12130,0,false,
2026-06-25 22:00:11+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12130,0,false,
2026-06-25 21:00:20+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12130,1,false,
2026-06-25 20:00:10+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12129,0,false,
2026-06-25 19:00:23+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12129,0,false,
2026-06-25 18:38:59+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12129,0,false,
2026-06-25 16:00:10+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12129,0,false,
2026-06-25 15:46:30+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12129,0,false,
